IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques,GenerateAlert
Url,BBC.co.uk/iplayer,,Block,Informational,Streaming,Block streaming/entertainment,,,,,FALSE
DomainName,itv.com,,Block,Informational,Streaming,Block streaming/entertainment,,,,,FALSE
DomainName,channel4.com,,Block,Informational,Streaming,Block streaming/entertainment,,,,,FALSE
DomainName,channel5.com,,Block,Informational,Streaming,Block streaming/entertainment,,,,,FALSE
DomainName,Disneyplus.com,,Block,Informational,Streaming,Block streaming/entertainment,,,,,FALSE
DomainName,Paramountplus.com,,Block,Informational,Streaming,Block streaming/entertainment,,,,,FALSE
DomainName,Universalplus.com,,Block,Informational,Streaming,Block streaming/entertainment,,,,,FALSE
DomainName,Netflix.com,,Block,Informational,Streaming,Block streaming/entertainment,,,,,FALSE
Url,https://www.amazon.co.uk/gp/video,,Block,Informational,Streaming,Block streaming/entertainment,,,,,FALSE
Url,https://www.amazon.com/gp/video,,Block,Informational,Streaming,Block streaming/entertainment,,,,,FALSE
Url,https://www.amazon.co.uk/Amazon-Video,,Block,Informational,Streaming,Block streaming/entertainment,,,,,FALSE
Url,https://www.amazon.com/Amazon-Video,,Block,Informational,Streaming,Block streaming/entertainment,,,,,FALSE
DomainName,nowtv.com,,Block,Informational,Streaming,Block streaming/entertainment,,,,,FALSE
DomainName,go.sky.com,,Block,Informational,Streaming,Block streaming/entertainment,,,,,FALSE
Url,https://www.sky.com/watch/sky-go,,Block,Informational,Streaming,Block streaming/entertainment,,,,,FALSE
DomainName,https://virgintvgo.virginmedia.com/,,Block,Informational,Streaming,Block streaming/entertainment,,,,,FALSE
DomainName,hulu.com,,Block,Informational,Streaming,Block streaming/entertainment,,,,,FALSE
DomainName,cc.com,,Block,Informational,Streaming,Block streaming/entertainment,,,,,FALSE
DomainName,comedycentral.co.uk,,Block,Informational,Streaming,Block streaming/entertainment,,,,,FALSE
DomainName,uktv.co.uk,,Block,Informational,Streaming,Block streaming/entertainment,,,,,FALSE
DomainName,corporate.uktv.co.uk,,Block,Informational,Streaming,Block streaming/entertainment,,,,,FALSE
DomainName,justwatch.com,,Block,Informational,Streaming,Block streaming/entertainment,,,,,FALSE
DomainName,Britbox.com,,Block,Informational,Streaming,Block streaming/entertainment,,,,,FALSE
DomainName,Roku.com,,Block,Informational,Streaming,Block streaming/entertainment,,,,,FALSE
DomainName,Pluto.tv,,Block,Informational,Streaming,Block streaming/entertainment,,,,,FALSE
DomainName,Tubitv.com,,Block,Informational,Streaming,Block streaming/entertainment,,,,,FALSE
DomainName,plex.tv,,Block,Informational,Streaming,Block streaming/entertainment,,,,,FALSE
DomainName,jellyfin.org,,Block,Informational,Streaming,Block streaming/entertainment,,,,,FALSE
DomainName,stremio.com,,Block,Informational,Streaming,Block streaming/entertainment,,,,,FALSE
DomainName,kodi.tv,,Block,Informational,Streaming,Block streaming/entertainment,,,,,FALSE
DomainName,popcornflix.cam,,Block,Informational,Streaming,Block streaming/entertainment,,,,,FALSE
DomainName,vudu.com,,Block,Informational,Streaming,Block streaming/entertainment,,,,,FALSE
DomainName,xumo.tv,,Block,Informational,Streaming,Block streaming/entertainment,,,,,FALSE
DomainName,freeview.co.uk,,Block,Informational,Streaming,Block streaming/entertainment,,,,,FALSE
DomainName,ReelGood.com,,Block,Informational,Streaming,Block streaming/entertainment,,,,,FALSE
DomainName,Kanopy.com,,Block,Informational,Streaming,Block streaming/entertainment,,,,,FALSE
DomainName,Xumo.com,,Block,Informational,Streaming,Block streaming/entertainment,,,,,FALSE
DomainName,Rakuten.co.uk,,Block,Informational,Streaming,Block streaming/entertainment,,,,,FALSE
DomainName,Rakuten.com,,Block,Informational,Streaming,Block streaming/entertainment,,,,,FALSE
DomainName,Cruchyroll.com,,Block,Informational,Streaming,Block streaming/entertainment,,,,,FALSE
DomainName,Crackle.com,,Block,Informational,Streaming,Block streaming/entertainment,,,,,FALSE
DomainName,Spotify.com,,Block,Informational,Streaming,Block streaming/entertainment,,,,,FALSE
DomainName,NoxTV.com,,Block,Informational,Streaming,Block streaming/entertainment,,,,,FALSE
DomainName,Tidal.com,,Block,Informational,Streaming,Block streaming/entertainment,,,,,FALSE
DomainName,youtube.com,,Block,Informational,Streaming,Block streaming/entertainment,,,,,FALSE
